neighbourhood,neighbourhood_cleansed,has_availability,first_review,instant_bookable
0,Gobelins,t,2012-01-16,f
0,Élysée,t,0,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2012-05-31,f
"Paris, Île-de-France, France",Ménilmontant,t,2012-06-15,f
"Paris, Île-de-France, France",Temple,t,2012-04-30,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2012-03-20,t
0,Louvre,t,2013-07-01,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2012-11-07,f
0,Buttes-Montmartre,t,2012-03-26,f
"Paris, Île-de-France, France",Temple,t,2012-05-05,f
"Paris, Île-de-France, France",Luxembourg,t,2012-05-21,f
0,Louvre,t,2012-05-31,t
0,Buttes-Chaumont,t,2017-02-10,f
"Paris, Île-de-France, France",Opéra,t,2012-04-10,f
0,Popincourt,t,2015-09-14,t
0,Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Temple,t,2012-04-03,f
0,Bourse,t,2012-03-21,f
"Paris, Île-de-France, France",Observatoire,t,2012-07-08,t
0,Louvre,t,2012-02-10,f
0,Reuilly,t,2012-07-07,f
0,Reuilly,t,2012-04-12,f
0,Popincourt,t,2012-04-13,f
0,Gobelins,t,2013-10-02,f
"Paris, Île-de-France, France",Vaugirard,t,2012-03-20,f
0,Entrepôt,t,2016-07-15,f
0,Popincourt,t,0,f
0,Panthéon,t,2013-09-27,f
"Paris, Île-de-France, France",Popincourt,t,2014-02-16,f
"Paris, Île-de-France, France",Panthéon,t,2012-04-15,f
"Paris, Île-de-France, France",Luxembourg,t,2012-05-25,f
0,Hôtel-de-Ville,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2012-05-20,t
0,Buttes-Chaumont,t,2012-03-15,f
"Paris, France",Opéra,t,2012-09-21,f
0,Buttes-Montmartre,t,2012-08-13,f
"Paris, Île-de-France, France",Luxembourg,t,2012-03-12,f
0,Ménilmontant,f,2012-04-12,f
"Paris, France",Vaugirard,t,2016-09-22,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2012-05-08,f
"Paris, Île-de-France, France",Ménilmontant,t,2012-04-29,f
"Paris, Île-de-France, France",Popincourt,t,2020-08-19,f
0,Buttes-Chaumont,t,2012-03-18,f
0,Ménilmontant,t,2018-03-08,t
0,Luxembourg,t,2012-02-27,f
0,Ménilmontant,t,2017-10-08,t
0,Louvre,t,2012-04-06,f
0,Panthéon,t,2012-06-30,f
"Paris, Île-de-France, France",Luxembourg,t,2012-03-20,f
"Saint-Mandé, Île-de-France, France",Reuilly,t,2012-04-08,f
0,Buttes-Montmartre,t,2012-03-26,f
0,Popincourt,t,2012-04-08,t
0,Observatoire,t,2014-10-25,f
0,Palais-Bourbon,t,2012-08-12,f
"Paris, Île-de-France, France",Popincourt,t,2012-09-17,t
"Paris, Île-de-France, France",Vaugirard,t,2012-05-08,t
0,Hôtel-de-Ville,t,2012-08-22,f
0,Temple,t,2012-10-16,f
"Paris, Île-de-France, France",Louvre,t,2012-06-04,f
0,Panthéon,t,2012-08-08,f
0,Ménilmontant,t,2017-10-08,f
0,Temple,t,2012-03-09,t
"Paris, Île-de-France, France",Buttes-Chaumont,t,2012-04-03,f
0,Élysée,t,2014-03-03,f
0,Buttes-Chaumont,t,2012-11-05,f
0,Observatoire,t,2012-04-12,t
0,Buttes-Montmartre,t,2012-04-22,f
0,Luxembourg,t,2012-04-20,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2012-04-04,f
"Paris, Île-de-France, France",Popincourt,t,2012-07-20,f
"Paris, Île-de-France, France",Ménilmontant,t,2014-10-24,f
"Paris, Île-de-France, France",Bourse,t,2014-06-30,t
0,Reuilly,t,2012-05-14,f
"Paris, Île-de-France, France",Luxembourg,t,2015-06-07,f
0,Opéra,t,2013-08-29,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2012-07-01,f
"Paris, Île-de-France, France",Temple,t,0,f
0,Hôtel-de-Ville,t,2012-04-02,t
"Paris, Île-de-France, France",Temple,t,2012-07-28,f
0,Entrepôt,t,2012-07-21,f
"Paris-13E-Arrondissement, Île-de-France, France",Gobelins,t,2017-09-18,f
"Paris, Île-de-France, France",Vaugirard,t,2012-03-27,f
0,Reuilly,t,2012-04-18,f
"Paris, Île-de-France, France",Vaugirard,t,2012-04-10,f
0,Opéra,t,2012-05-11,f
0,Batignolles-Monceau,t,0,f
"Paris, Île-de-France, France",Entrepôt,t,2012-04-15,t
"Paris, Île-de-France, France",Palais-Bourbon,t,2012-07-03,f
"Paris, Île-de-France, France",Opéra,t,2012-04-17,f
0,Panthéon,t,2012-05-14,f
